obs	year	stat
117	1951	1
102	1952	1
94	1953	1
104	1954	1
108	1955	1
110	1956	1
85	1957	1
113	1958	1
87	1959	1
93	1960	1
118	1962	1
117	1964	1
122	1965	1
116	1966	1
122	1967	1
108	1968	1
117	1969	1
117	1970	1
105	1971	1
95	1972	1
107	1973	1
92	1974	1
117	1975	1
99	1976	1
130	1977	1
117	1978	1
128	1979	1
120	1980	1
117	1981	1
118	1982	1
116	1983	1
114	1951	2
121	1952	2
113	1954	2
124	1955	2
116	1956	2
122	1958	2
94	1959	2
110	1961	2
130	1962	2
128	1965	2
117	1966	2
115	1967	2
110	1968	2
118	1969	2
122	1970	2
111	1971	2
109	1972	2
118	1973	2
119	1958	3
96	1959	3
93	1960	3
86	1961	3
112	1963	3
106	1964	3
105	1965	3
110	1966	3
108	1967	3
108	1968	3
122	1969	3
122	1970	3
106	1971	3
95	1972	3
115	1973	3
93	1974	3
114	1975	3
104	1976	3
107	1977	3
105	1978	3
117	1979	3
108	1980	3
100	1981	3
111	1982	3
115	1983	3
113	1984	3
113	1985	3
125	1986	3
117	1987	3
111	1988	3
102	1989	3
92	1990	3
107	1991	3
122	1951	4
107	1952	4
97	1953	4
126	1955	4
127	1956	4
118	1957	4
126	1958	4
128	1959	4
138	1960	4
128	1961	4
121	1962	4
115	1963	4
112	1964	4
110	1965	4
112	1966	4
111	1967	4
114	1970	4
86	1972	4
100	1973	4
85	1974	4
113	1975	4
108	1976	4
98	1977	4
107	1978	4
111	1979	4
116	1980	4
94	1981	4
103	1982	4
110	1983	4
118	1984	4
115	1985	4
123	1986	4
119	1987	4
112	1988	4
91	1989	4
97	1990	4
121	1991	4
113	1992	4
112	1993	4
107	1994	4
112	1995	4
115	1996	4
89	1997	4
110	1998	4
118	1951	5
103	1952	5
120	1953	5
129	1954	5
122	1955	5
134	1956	5
100	1957	5
128	1958	5
97	1959	5
110	1960	5
102	1961	5
115	1962	5
121	1963	5
115	1964	5
118	1965	5
113	1966	5
113	1967	5
113	1968	5
120	1969	5
127	1970	5
114	1971	5
101	1972	5
123	1973	5
102	1974	5
108	1975	5
106	1976	5
103	1977	5
112	1978	5
114	1987	6
108	1988	6
92	1989	6
83	1990	6
105	1991	6
105	1992	6
102	1993	6
98	1994	6
106	1995	6
112	1996	6
96	1997	6
99	1998	6
113	1988	7
98	1989	7
106	1990	7
103	1992	7
106	1993	7
107	1994	7
106	1995	7
141	1952	8
115	1955	8
156	1956	8
97	1957	8
138	1958	8
103	1960	8
96	1961	8
115	1962	8
111	1963	8
110	1964	8
108	1965	8
108	1966	8
111	1967	8
108	1968	8
119	1969	8
124	1970	8
112	1971	8
117	1972	8
117	1973	8
110	1974	8
100	1975	8
118	1976	8
115	1977	8
115	1978	8
121	1979	8
126	1980	8
96	1981	8
114	1982	8
115	1983	8
124	1984	8
122	1985	8
124	1986	8
117	1987	8
131	1988	8
106	1989	8
106	1990	8
103	1991	8
116	1992	8
112	1993	8
112	1994	8
112	1995	8
115	1996	8
109	1997	8
108	1998	8
129	1963	9
109	1964	9
96	1965	9
109	1966	9
105	1967	9
113	1969	9
115	1970	9
104	1971	9
90	1972	9
115	1973	9
93	1974	9
114	1975	9
122	1976	9
106	1977	9
115	1978	9
112	1979	9
102	1980	9
94	1981	9
